ID,Result,Timestamp
0,B,2025-07-09T13:49:34.177716
1,B,2025-07-09T13:49:34.539899
2,B,2025-07-09T13:49:34.875211
3,S,2025-07-09T13:49:35.194603
4,B,2025-07-09T13:49:48.676092
5,S,2025-07-09T13:49:50.876296
6,S,2025-07-09T13:49:53.289030
7,B,2025-07-09T13:49:55.660230
8,B,2025-07-09T13:49:58.002314
9,B,2025-07-09T13:50:00.131049
10,B,2025-07-09T13:50:02.213657
11,S,2025-07-09T13:50:04.611756
12,B,2025-07-09T13:50:06.537104
13,B,2025-07-09T13:50:08.843460
14,B,2025-07-09T13:50:10.722762
15,B,2025-07-09T13:50:12.531166
16,S,2025-07-09T13:50:14.696528
17,B,2025-07-09T13:50:16.738101
18,S,2025-07-09T13:50:18.999508
19,B,2025-07-09T13:50:20.851995
20,B,2025-07-09T13:50:22.795809
21,S,2025-07-09T13:50:24.946770
22,B,2025-07-09T13:50:26.677677
23,B,2025-07-09T13:50:28.517953
24,B,2025-07-09T13:50:30.177491
25,S,2025-07-09T13:50:31.779124
26,B,2025-07-09T13:50:33.390971
27,B,2025-07-09T13:50:35.113937
28,B,2025-07-09T13:50:37.029559
29,B,2025-07-09T13:50:39.048256
30,B,2025-07-09T13:50:40.778130
31,B,2025-07-09T13:50:42.721664
32,B,2025-07-09T13:50:44.942314
33,B,2025-07-09T13:50:47.169108
34,B,2025-07-09T13:50:48.425403
35,B,2025-07-09T13:50:50.636162
36,B,2025-07-09T13:50:52.667213
37,B,2025-07-09T13:50:54.842311
38,B,2025-07-09T13:50:56.297245
39,B,2025-07-09T13:50:57.767352
40,B,2025-07-09T13:50:59.300295
41,B,2025-07-09T13:51:00.872888
42,B,2025-07-09T13:51:02.491719
43,B,2025-07-09T13:51:04.044490
44,B,2025-07-09T13:51:05.579371
45,B,2025-07-09T13:51:07.199056
46,B,2025-07-09T13:51:09.047673
47,B,2025-07-09T13:51:10.462352
48,B,2025-07-09T13:51:12.204839
49,B,2025-07-09T13:51:13.705404
50,B,2025-07-09T13:51:15.646421
51,B,2025-07-09T13:51:17.311857
52,B,2025-07-09T13:51:18.884821
53,B,2025-07-09T13:51:21.707221
54,S,2025-07-09T13:51:24.358480
55,B,2025-07-09T13:51:27.616338
56,B,2025-07-09T13:51:28.464982
57,B,2025-07-09T13:51:30.654150
58,S,2025-07-09T13:51:32.764230
59,S,2025-07-09T13:51:34.971751
60,B,2025-07-09T13:51:36.640909
61,B,2025-07-09T13:51:38.567798
62,B,2025-07-09T13:51:39.984548
63,B,2025-07-09T13:51:41.451564
64,B,2025-07-09T13:51:42.798131
65,B,2025-07-09T13:51:44.678452
66,B,2025-07-09T13:51:46.646842
67,B,2025-07-09T13:51:49.283136
68,B,2025-07-09T13:51:50.469495
69,B,2025-07-09T13:51:51.972331
70,S,2025-07-09T13:51:53.786042
