ID,Result,Timestamp
0,S,2025-07-09T14:19:26.658303
1,S,2025-07-09T14:19:27.037068
2,S,2025-07-09T14:19:27.808138
3,B,2025-07-09T14:19:29.608832
4,B,2025-07-09T14:19:29.750023
5,B,2025-07-09T14:19:30.000792
6,B,2025-07-09T14:19:30.111595
7,B,2025-07-09T14:19:30.223974
8,B,2025-07-09T14:19:30.329609
9,B,2025-07-09T14:19:30.459915
10,B,2025-07-09T14:19:30.555956
11,B,2025-07-09T14:19:30.657235
12,B,2025-07-09T14:19:30.787406
13,B,2025-07-09T14:19:30.915453
14,B,2025-07-09T14:19:31.028488
15,B,2025-07-09T14:19:31.124505
16,B,2025-07-09T14:19:31.251453
17,B,2025-07-09T14:19:31.368191
18,B,2025-07-09T14:19:31.486230
19,B,2025-07-09T14:19:31.566114
20,B,2025-07-09T14:19:31.692253
21,B,2025-07-09T14:19:31.817369
22,B,2025-07-09T14:19:31.983618
23,B,2025-07-09T14:19:32.119421
24,B,2025-07-09T14:19:32.300535
25,B,2025-07-09T14:19:32.424266
26,B,2025-07-09T14:19:32.578157
27,B,2025-07-09T14:19:32.675526
28,B,2025-07-09T14:19:32.810369
29,B,2025-07-09T14:19:32.940488
30,B,2025-07-09T14:19:33.064681
31,B,2025-07-09T14:19:33.184039
32,B,2025-07-09T14:19:33.311418
33,B,2025-07-09T14:19:33.439393
34,B,2025-07-09T14:19:33.556553
35,B,2025-07-09T14:19:33.681545
36,B,2025-07-09T14:19:33.805429
37,B,2025-07-09T14:19:33.933009
38,B,2025-07-09T14:19:34.048863
39,B,2025-07-09T14:19:34.174548
40,B,2025-07-09T14:19:34.307946
41,B,2025-07-09T14:19:34.423135
42,B,2025-07-09T14:19:34.563538
43,B,2025-07-09T14:19:34.694213
44,B,2025-07-09T14:19:34.816576
45,B,2025-07-09T14:19:34.940366
46,B,2025-07-09T14:19:35.077702
47,B,2025-07-09T14:19:35.207231
48,B,2025-07-09T14:19:35.335236
49,B,2025-07-09T14:19:35.450917
50,B,2025-07-09T14:19:35.590449
51,B,2025-07-09T14:19:35.688527
52,B,2025-07-09T14:19:35.805645
53,B,2025-07-09T14:19:35.946036
54,B,2025-07-09T14:19:36.079680
55,B,2025-07-09T14:19:36.169126
56,B,2025-07-09T14:19:36.315999
57,B,2025-07-09T14:19:36.462293
58,B,2025-07-09T14:19:36.582858
59,B,2025-07-09T14:19:36.663433
60,B,2025-07-09T14:19:36.806076
61,B,2025-07-09T14:19:36.944339
62,B,2025-07-09T14:19:37.061269
63,B,2025-07-09T14:19:37.139736
64,B,2025-07-09T14:19:37.280580
65,B,2025-07-09T14:19:37.403894
66,B,2025-07-09T14:19:37.511429
67,B,2025-07-09T14:19:37.626426
68,B,2025-07-09T14:19:37.725315
69,B,2025-07-09T14:19:37.865385
70,B,2025-07-09T14:19:37.982092
71,B,2025-07-09T14:19:38.101308
72,B,2025-07-09T14:19:38.224200
73,B,2025-07-09T14:19:38.338305
74,B,2025-07-09T14:19:38.469667
75,B,2025-07-09T14:19:38.600727
76,B,2025-07-09T14:19:38.718374
77,B,2025-07-09T14:19:38.840343
