ID,Result,Timestamp
0,B,2025-07-09T14:11:43.108424
1,B,2025-07-09T14:12:02.372975
2,B,2025-07-09T14:12:03.691997
3,S,2025-07-09T14:12:05.695275
4,B,2025-07-09T14:12:06.916809
5,S,2025-07-09T14:12:08.593142
6,S,2025-07-09T14:12:10.404538
7,S,2025-07-09T14:12:11.981995
8,S,2025-07-09T14:12:13.626559
9,B,2025-07-09T14:12:15.548869
10,B,2025-07-09T14:12:17.150004
11,S,2025-07-09T14:12:18.841533
12,B,2025-07-09T14:12:20.477464
13,B,2025-07-09T14:12:21.839032
14,S,2025-07-09T14:12:23.437642
15,S,2025-07-09T14:12:25.368802
16,S,2025-07-09T14:12:27.029825
17,B,2025-07-09T14:12:28.823159
18,B,2025-07-09T14:12:30.323578
19,B,2025-07-09T14:12:31.973388
20,S,2025-07-09T14:12:33.538633
21,B,2025-07-09T14:12:35.074205
22,S,2025-07-09T14:12:36.570871
23,S,2025-07-09T14:12:38.095495
24,S,2025-07-09T14:12:39.592625
25,S,2025-07-09T14:12:41.014326
26,S,2025-07-09T14:12:42.474978
27,S,2025-07-09T14:12:44.143460
28,B,2025-07-09T14:12:46.096538
29,S,2025-07-09T14:12:52.865221
30,B,2025-07-09T14:12:54.387349
31,B,2025-07-09T14:12:55.790770
32,S,2025-07-09T14:12:57.516914
33,B,2025-07-09T14:13:10.406272
34,B,2025-07-09T14:13:11.966836
35,B,2025-07-09T14:13:13.449685
36,S,2025-07-09T14:13:14.663610
37,S,2025-07-09T14:13:15.835844
38,B,2025-07-09T14:13:17.369439
39,B,2025-07-09T14:13:19.008274
40,B,2025-07-09T14:13:20.713084
41,B,2025-07-09T14:13:22.171142
42,B,2025-07-09T14:13:23.779682
43,B,2025-07-09T14:13:25.626576
44,S,2025-07-09T14:13:27.436713
45,S,2025-07-09T14:13:29.312831
46,S,2025-07-09T14:13:31.089025
47,S,2025-07-09T14:13:32.755560
48,S,2025-07-09T14:13:34.801320
49,S,2025-07-09T14:13:36.791716
50,B,2025-07-09T14:13:39.114843
51,B,2025-07-09T14:13:41.023593
52,B,2025-07-09T14:13:42.962865
53,S,2025-07-09T14:13:44.470491
54,B,2025-07-09T14:13:46.352792
55,B,2025-07-09T14:13:48.050941
56,B,2025-07-09T14:13:49.758447
57,B,2025-07-09T14:13:51.875483
58,B,2025-07-09T14:13:53.417238
59,B,2025-07-09T14:13:55.154109
60,B,2025-07-09T14:13:57.159779
61,B,2025-07-09T14:13:58.501108
62,B,2025-07-09T14:14:00.366868
63,S,2025-07-09T14:14:02.497376
64,B,2025-07-09T14:14:04.571863
65,B,2025-07-09T14:14:06.193792
66,B,2025-07-09T14:14:08.096525
67,B,2025-07-09T14:14:10.147048
68,S,2025-07-09T14:14:11.762688
69,S,2025-07-09T14:14:13.294045
70,S,2025-07-09T14:14:15.397535
71,S,2025-07-09T14:14:16.982268
72,S,2025-07-09T14:14:18.803139
73,S,2025-07-09T14:14:20.580131
74,S,2025-07-09T14:14:22.634396
75,S,2025-07-09T14:14:24.885987
76,B,2025-07-09T14:14:30.235166
77,B,2025-07-09T14:14:33.789660
78,B,2025-07-09T14:14:35.267525
79,B,2025-07-09T14:14:36.883176
80,S,2025-07-09T14:14:38.756252
81,S,2025-07-09T14:14:40.583962
82,S,2025-07-09T14:14:42.075791
83,B,2025-07-09T14:14:43.799539
84,B,2025-07-09T14:14:45.426319
85,S,2025-07-09T14:14:47.105514
86,B,2025-07-09T14:14:48.947203
87,S,2025-07-09T14:14:50.700526
88,S,2025-07-09T14:14:52.363810
89,S,2025-07-09T14:14:53.804125
90,S,2025-07-09T14:14:55.424559
91,S,2025-07-09T14:14:57.073592
92,B,2025-07-09T14:14:59.005451
